Date,East,West
2015-01-01,0.13,0.107
2015-01-02,0.21433333333333332,0.19033333333333333
2015-01-03,0.15066666666666667,0.12166666666666667
2015-01-04,0.055,0.058
2015-01-05,0.38166666666666665,0.226
2015-01-06,0.577,0.3313333333333333
2015-01-07,0.6056666666666667,0.336
2015-01-08,0.5503333333333333,0.31966666666666665
2015-01-09,0.442,0.388
2015-01-10,0.12966666666666668,0.12733333333333333
2015-01-11,0.14933333333333335,0.12066666666666667
2015-01-12,0.566,0.324
2015-01-13,0.5856666666666667,0.3363333333333333
2015-01-14,0.539,0.3353333333333333
2015-01-15,0.4043333333333333,0.22833333333333333
2015-01-16,0.43533333333333335,0.2786666666666667
2015-01-17,0.106,0.09133333333333334
2015-01-18,0.083,0.074
2015-01-19,0.3496666666666667,0.311
2015-01-20,0.5293333333333333,0.44633333333333336
2015-01-21,0.534,0.31666666666666665
2015-01-22,0.456,0.27166666666666667
2015-01-23,0.37133333333333335,0.221
2015-01-24,0.21733333333333332,0.17033333333333334
2015-01-25,0.4206666666666667,0.2976666666666667
2015-01-26,0.6793333333333333,0.37366666666666665
2015-01-27,0.5203333333333333,0.334
2015-01-28,0.524,0.46366666666666667
2015-01-29,0.5356666666666666,0.4846666666666667
2015-01-30,0.4543333333333333,0.41633333333333333
2015-01-31,0.221,0.191
2015-02-01,0.13,0.106
2015-02-02,0.38433333333333336,0.25033333333333335
2015-02-03,0.474,0.304
2015-02-04,0.4746666666666667,0.27566666666666667
2015-02-05,0.35533333333333333,0.20933333333333334
2015-02-06,0.318,0.219
2015-02-07,0.113,0.09666666666666666
2015-02-08,0.28,0.22733333333333333
2015-02-09,0.21033333333333334,0.491
2015-02-10,0.392,0.44666666666666666
2015-02-11,0.5646666666666667,0.37133333333333335
2015-02-12,0.5596666666666666,0.3393333333333333
2015-02-13,0.5223333333333333,0.29733333333333334
2015-02-14,0.26466666666666666,0.22366666666666668
2015-02-15,0.33366666666666667,0.2783333333333333
2015-02-16,0.3933333333333333,0.3436666666666667
2015-02-17,0.613,0.36
2015-02-18,0.618,0.3576666666666667
2015-02-19,0.4553333333333333,0.285
2015-02-20,0.17966666666666667,0.49266666666666664
2015-02-21,0.29933333333333334,0.251
2015-02-22,0.32666666666666666,0.28
2015-02-23,0.5916666666666667,0.36866666666666664
2015-02-24,0.5643333333333334,0.45766666666666667
2015-02-25,0.509,0.2896666666666667
2015-02-26,0.4673333333333333,0.2846666666666667
2015-02-27,0.173,0.4063333333333333
2015-02-28,0.363,0.30966666666666665
2015-03-01,0.3343333333333333,0.25633333333333336
2015-03-02,0.22933333333333333,0.6286666666666667
2015-03-03,0.6146666666666667,0.367
2015-03-04,0.477,0.466
2015-03-05,0.5573333333333333,0.359
2015-03-06,0.5886666666666667,0.3453333333333333
2015-03-07,0.4076666666666667,0.3526666666666667
2015-03-08,0.379,0.323
2015-03-09,0.262,0.6823333333333333
2015-03-10,0.25666666666666665,0.695
2015-03-11,0.19033333333333333,0.493
2015-03-12,0.355,0.6163333333333333
2015-03-13,0.613,0.37666666666666665
2015-03-14,0.15766666666666668,0.134
2015-03-15,0.044,0.035666666666666666
2015-03-16,0.22266666666666668,0.652
2015-03-17,0.219,0.5473333333333333
2015-03-18,0.282,0.6756666666666666
2015-03-19,0.55,0.35333333333333333
2015-03-20,0.4036666666666667,0.26766666666666666
2015-03-21,0.24166666666666667,0.218
2015-03-22,0.196,0.15633333333333332
2015-03-23,0.38,0.29633333333333334
2015-03-24,0.459,0.291
2015-03-25,0.4083333333333333,0.27166666666666667
2015-03-26,0.6863333333333334,0.479
